Date,Time,Temperature(°C),Interval(in minutes)
2025-08-01,10:07:34,-,30 sec
01-08-2025,10:07:34,26.8,0.5
01-08-2025,10:08:04,26.7,0.5
01-08-2025,10:08:34,27.6,0.5
01-08-2025,10:09:04,27.2,0.5
01-08-2025,10:09:34,26.9,0.5
01-08-2025,10:10:04,26.7,0.5
01-08-2025,10:10:34,26.5,0.5
01-08-2025,10:11:04,25.7,0.5
01-08-2025,10:11:34,26.3,0.5
01-08-2025,10:12:04,26.2,0.5
01-08-2025,10:12:34,26.3,0.5
01-08-2025,10:13:04,26.4,0.5
01-08-2025,10:13:34,26.5,0.5
01-08-2025,10:14:04,26.6,0.5
01-08-2025,10:14:34,26.8,0.5
01-08-2025,10:15:04,26.5,0.5
01-08-2025,10:15:34,26.3,0.5
01-08-2025,10:16:04,26.6,0.5
01-08-2025,10:16:34,26.4,0.5
01-08-2025,10:17:04,26.4,0.5
