Date,Time,Temperature(°C),Interval(in minutes)
2025-08-01,10:16:38,-,30 sec
01-08-2025,10:16:38,26.8,0.5
01-08-2025,10:17:08,26.6,0.5
01-08-2025,10:17:38,26.5,0.5
01-08-2025,10:18:08,26.3,0.5
01-08-2025,10:18:38,26.2,0.5
01-08-2025,10:19:08,26.2,0.5
01-08-2025,10:19:38,26.2,0.5
01-08-2025,10:20:08,26.1,0.5
01-08-2025,10:20:38,26.1,0.5
01-08-2025,10:21:08,26.0,0.5
01-08-2025,10:21:38,26.0,0.5
01-08-2025,10:22:08,27.5,0.5
01-08-2025,10:22:38,27.9,0.5
01-08-2025,10:23:08,31.2,0.5
01-08-2025,10:23:38,30.4,0.5
01-08-2025,10:24:08,26.0,0.5
01-08-2025,10:24:38,27.6,0.5
